unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
1737511,G544308,10/9/2001 11:04:15,003XX W 105 PL,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,FALSE,FALSE,512,5,,,03,1175836,1834924,2001,17/8/2015 3:03:40,41.70239292,-87.6317494,"(41.702392921, -87.631749398)"
8295201,HT527573,4/10/2011 5:30:00,002XX W 104TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,512,5,34,49,03,1176490,1835977,2011,10/2/2018 3:50:01,41.70526786,-87.62932312,"(41.705267858, -87.629323117)"
6878829,HR283293,23/4/2009 2:00:00,106XX S PERRY AVE,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE,FALSE,TRUE,512,5,34,49,03,1177489,1834228,2009,28/2/2018 3:56:25,41.70044589,-87.62571753,"(41.700445886, -87.625717529)"
6213327,HP299285,24/4/2008 11:55:19,105XX S WENTWORTH AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,TRUE,512,5,34,49,03,1176810,1835237,2008,28/2/2018 3:56:25,41.70323001,-87.62817351,"(41.703230009, -87.628173505)"
4501702,HL805799,23/12/2005 1:15:00,103XX S MICHIGAN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,512,5,9,49,03,1178964,1836624,2005,28/2/2018 3:56:25,41.70698746,-87.62024403,"(41.706987456, -87.620244029)"
11775759,JC370300,23/7/2019 10:00:00,104XX S COTTAGE GROVE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,TRUE,512,5,9,50,03,1182592,1836062,2019,1/8/2019 4:12:09,41.70536205,-87.6069758,"(41.705362046, -87.606975803)"
6550358,HP622353,11/10/2008 9:00:00,105XX S STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,34,49,03,1178113,1835163,2008,28/2/2018 3:56:25,41.70299757,-87.62340447,"(41.702997566, -87.62340447)"
2104027,HH331676,26/4/2002 7:45:00,103XX S CORLISS AVE,0320,ROBBERY,STRONGARM - NO WEAPON,RESTAURANT,FALSE,FALSE,512,5,9,50,03,1183397,1836757,2002,28/2/2018 3:56:25,41.70725054,-87.60400645,"(41.707250544, -87.604006449)"
11343597,JB301166,10/6/2018 3:40:00,004XX E 103RD ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,512,5,9,49,03,1180815,1836761,2018,17/6/2018 3:50:56,41.70732114,-87.61346154,"(41.707321141, -87.613461543)"
9476782,HX130203,28/1/2014 10:25:00,106XX S STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,SMALL RETAIL STORE,FALSE,FALSE,512,5,34,49,03,1178142,1834202,2014,10/2/2018 3:50:01,41.70035979,-87.62332729,"(41.700359791, -87.62332729)"
1834163,G669521,6/11/2001 7:22:39,105XX S WABASH AV,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,,,03,1178474,1835269,2001,17/8/2015 3:03:40,41.70328027,-87.62207938,"(41.70328027, -87.622079376)"
7583068,HS375512,23/6/2010 8:00:00,009XX E 104TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,512,5,9,50,03,1184238,1836191,2010,10/2/2018 3:50:01,41.70567778,-87.60094436,"(41.705677782, -87.600944364)"
4074248,HL407484,8/6/2005 3:50:00,104XX S STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,512,5,34,49,03,1178091,1835934,2005,10/2/2018 3:50:01,41.70511379,-87.62346176,"(41.705113794, -87.623461757)"
9132757,HW277441,16/5/2013 5:16:00,103XX S DAUPHIN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,TRUE,FALSE,512,5,9,49,03,1182437,1836724,2013,10/2/2018 3:50:01,41.70718225,-87.60752296,"(41.707182246, -87.607522959)"
2685077,HJ300586,14/4/2003 12:30:00,105XX S INDIANA AVE,0320,ROBBERY,STRONGARM - NO WEAPON,APARTMENT,FALSE,TRUE,512,5,9,49,03,1179445,1835170,2003,28/2/2018 3:56:25,41.70298654,-87.61852682,"(41.702986539, -87.61852682)"
2322712,HH616279,31/8/2002 3:13:36,0000X E 103RD ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,9,49,03,1178274,1836687,2002,28/2/2018 3:56:25,41.70717599,-87.62276888,"(41.707175989, -87.622768884)"
8636698,HV310880,30/5/2012 4:20:00,104XX S EBERHART AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,9,49,03,1181422,1835945,2012,4/2/2016 6:33:39,41.70506798,-87.61126378,"(41.705067984, -87.611263778)"
7974971,HT206437,16/3/2011 10:58:00,103XX S PERRY AVE,0320,ROBBERY,STRONGARM - NO WEAPON,VACANT LOT/LAND,FALSE,FALSE,512,5,34,49,03,1177432,1836249,2011,10/2/2018 3:50:01,41.70599308,-87.62586545,"(41.70599308, -87.625865449)"
6574296,HP644473,23/10/2008 11:05:00,005XX E 104TH PL,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,9,49,03,1182053,1835796,2008,28/2/2018 3:56:25,41.70464457,-87.60895774,"(41.704644567, -87.608957741)"
10734187,HZ484895,22/10/2016 6:15:00,001XX W 104TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE PORCH/HALLWAY,FALSE,TRUE,512,5,34,49,03,1177244,1835995,2016,10/2/2018 3:50:01,41.70530031,-87.62656152,"(41.705300305, -87.626561522)"
6272641,HP358387,27/5/2008 1:00:00,105XX S PERRY AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,TRUE,512,5,34,49,03,1177463,1835161,2008,28/2/2018 3:56:25,41.70300676,-87.62578466,"(41.703006756, -87.625784664)"
7053914,HR458426,31/7/2009 1:40:00,105XX S MARYLAND AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,9,50,03,1183770,1835347,2009,28/2/2018 3:56:25,41.70337265,-87.60268434,"(41.703372649, -87.602684344)"
4698813,HM301845,19/4/2006 10:30:00,105XX S MICHIGAN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,9,49,03,1178853,1835179,2006,28/2/2018 3:56:25,41.7030247,-87.6206943,"(41.7030247, -87.620694297)"
10418972,HZ156791,19/2/2016 7:45:00,103XX S MICHIGAN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,DRUG STORE,FALSE,FALSE,512,5,9,49,03,1178964,1836624,2016,10/2/2018 3:50:01,41.70698746,-87.62024403,"(41.706987456, -87.620244029)"
5689276,HN497489,30/7/2007 3:45:00,0000X W 105TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,512,5,34,49,03,1177964,1835350,2007,28/2/2018 3:56:25,41.70351409,-87.62394443,"(41.703514089, -87.623944429)"
4422403,HL718160,5/11/2005 9:02:00,001XX E 103RD PL,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,512,5,9,49,03,1179098,1836381,2005,28/2/2018 3:56:25,41.70631759,-87.6197607,"(41.706317585, -87.6197607)"
5005626,HM607075,16/9/2006 7:30:00,103XX S COTTAGE GROVE AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,FALSE,FALSE,512,5,9,50,03,1182698,1836734,2006,28/2/2018 3:56:25,41.70720365,-87.60656688,"(41.707203646, -87.606566877)"
